name,discounted_price,price,unit,price_per_unit
Fantovska otroška kratka pižama,4.69,6.99,kompl.,
Hruške,1.69,2.49,za kg,
Dekliška otroška kratka pižama,4.69,6.99,kompl.,
PARKSIDE Rezalnik za ploščice,11.49,16.99,kos,
Pomaranče,1.39,1.99,za kg,
Redkvice,0.55,0.79,250 g,1 kg = 2.20
BELBAKE Mleti mak,0.89,1.24,200 g,1 kg = 4.45
Jabolčni žepek,0.69,0.95,105 g,1 kg = 6.57
ŽAR LEGENDE Gurmanske pleskavice,3.69,4.99,480 g,1 kg = 7.69
NAŠE NAM PAŠE Piščančja stegna,1.99,2.69,600 g,1 kg = 3.32
KMET MILOŠ Tekoči sadni jogurt,1.19,1.59,350 ml,1 l = 3.40
DANONE Actimel,3.49,4.69,10 x 100 g,
ŽAR LEGENDE Ramsteak,5.29,6.99,300 g,1 kg = 17.63
SOLEVITA Sok citrusov,0.29,0.38,200 ml,1 l = 1.45
NAŠE NAM PAŠE Piščančje krače,1.99,2.59,600 g,1 kg = 3.32
DR. OETKER Vanilin sladkor/pecilni prašek,0.89,1.13,6 x 8 g/6 x 12 g,1 kg = 18.54/12.36
BELBAKE Mandlji,1.79,2.29,200 g,1 kg = 8.95
OCEAN SEA Hrustljav file aljaškega polaka,2.49,3.15,400 g,1 kg = 6.23
OCEAN SEA File lososa,3.19,3.99,250 g,1 kg = 12.76
GELATELLI Premium korneti,1.99,2.49,6 x 120 ml,1 l = 2.76
KMET MILOŠ Tekoči sadni jogurt,1.19,1.49,350 ml,1 l = 3.40
NAŠE NAM PAŠE Piščančje peruti,2.19,2.75,400 g,1 kg = 5.48
OCEAN SEA Ribje palčke,2.39,2.99,450 g,1 kg = 5.31
OCEAN SEA Jadranske sardele,2.39,2.99,1 kg,
OCEAN SEA File aljaškega polaka,4.99,6.29,950 g,1 kg = 5.25
Večzrnati kruh,1.59,1.99,700 g,1 kg = 2.27
CIEN Micelarna voda za obraz,2.59,2.99,400 ml,1 l = 6.48
DULANO SELECTION Mortadela s pistacijami,3.59,3.79,700 g,1 kg = 5.13
KANIA Peteršilj,1.45,1.79,15 g,1 kg = 96.67
CIMAROSA Cabernet sauvignon,2.99,3.49,"0,75 l",1 l = 3.99
NIXE Tunina z zelenjavo,1.79,2.09,220 g,1 kg = 8.14
KANIA Drobnjak,1.45,1.69,"12,5 g",1 kg = 116.00
COMBINO Testenine za lazanjo,1.19,1.39,500 g,1 kg = 2.38
CHEF SELECT & YOU Masleno listnato testo,1.19,1.39,230 g,1 kg = 5.17
MILBONA Sir v tanjših rezinah,1.29,1.49,100 g,1 kg = 12.90
MILBONA Rahel smetanov puding,0.69,0.79,200 g,1 kg = 3.45
CRIVIT E-gorsko kolo,,,,
SACHSENRAD Zložljivo električno kolo „Race F12”,,,,
